cid,concept,aid,problem,start,end,avg_attn,freq,n_err_events,path
bounds_checking,Validação de limites e bounds checking,494,49,int,==,0.4325,10,120,int@BasicType@LocalVariableDeclaration@MethodDeclaration@IfStatement@BinaryOp...
bounds_checking,Validação de limites e bounds checking,502,45,sum,=,0.4323,8,127,sum@MemberReference@BinaryOperation@Assignment@=
bounds_checking,Validação de limites e bounds checking,494,106,int,end,0.4141,44,228,int@BasicType@LocalVariableDeclaration@VariableDeclarator@end
bounds_checking,Validação de limites e bounds checking,494,43,nums,=,0.4074,51,259,nums@MemberReference@Assignment@=
bounds_checking,Validação de limites e bounds checking,502,118,int,=,0.405,34,146,int@BasicType@LocalVariableDeclaration@MethodDeclaration@StatementExpression@...
bounds_checking,Validação de limites e bounds checking,494,43,int,<=,0.404,6,259,int@BasicType@FormalParameter@MethodDeclaration@IfStatement@BinaryOperation@<=
bounds_checking,Validação de limites e bounds checking,502,70,nums,i,0.397,63,271,nums@FormalParameter@MethodDeclaration@ForStatement@ForControl@BinaryOperatio...
bounds_checking,Validação de limites e bounds checking,492,34,==,str,0.3511,8,309,<PAD/UNK>
bounds_checking,Validação de limites e bounds checking,502,70,i,1,0.3509,47,271,i@MemberReference@BinaryOperation@Literal@1
bounds_checking,Validação de limites e bounds checking,502,70,int,0,0.3412,7,271,int@BasicType@LocalVariableDeclaration@VariableDeclarator@Literal@0
bounds_checking,Validação de limites e bounds checking,502,70,==,=,0.3248,18,271,==@BinaryOperation@IfStatement@IfStatement@BlockStatement@StatementExpression...
bounds_checking,Validação de limites e bounds checking,494,106,int,length,0.3236,9,228,int@BasicType@VariableDeclaration@ForControl@BinaryOperation@MemberReference@...
bounds_checking,Validação de limites e bounds checking,502,118,int,=,0.3213,6,146,int@BasicType@VariableDeclaration@ForControl@ForStatement@StatementExpression...
bounds_checking,Validação de limites e bounds checking,494,106,int,end,0.3192,46,228,int@BasicType@FormalParameter@MethodDeclaration@LocalVariableDeclaration@Vari...
bounds_checking,Validação de limites e bounds checking,502,118,int,result,0.3162,9,146,int@BasicType@LocalVariableDeclaration@VariableDeclarator@result
